,From,To,Time (min)
76243,Dallas,Scotia,780
76244,Bellview,Lincolnville,90
76245,Newcomb,Roebling,269
76246,Prince George,Sheshebee,750
76247,Raynham Ctr,Palma Sola,266
76248,Garden Valley,Springvale,95
76249,Cols,Bo Barcelona,26
76250,Trade Lake,Ameritech,45
76251,Lansford,Consuella,350
76252,Kenn,Cleona,89
76253,Tyty,N Ft Myers,643
76254,Halbert,Senator Clarke Field,916
76255,Cupertino,Fred,10
76256,Akin,Sublimity,507
76257,Las Marias,Grice,85
76258,Craddockville,Jay City,184
76259,Cornwall,Pt Of Rocks,38
76260,Maynard,Robeson,390
76261,Navajo Station,White Haven,853
76262,Waterbury,Sciotoville,249
76263,Cleveland,Flushing,906
76264,Sunnyside,Rice,240
76265,Killeen,Belfast,817
76266,Loganville,Greenview,35
76267,Erma,Brooks,898
76268,Reeders,Pony,826
76269,Mount Holly,Taylor,53
76270,Fairlawn,New Hope,725
76271,Long Creek,Malaga,19
76272,Crockett,Iron City,522
76273,Richland,Excel Energy,700
76274,Kansas,Apache Junction,432
76275,Aibonito,Steffenville,368
76276,Hickory,URB San Cristobal,490
76277,Williams,Chili,870
76278,Merion,May,266
76279,Nook,Mosherville,999
76280,Gaastra,Espyville,378
76281,Greenbury,Walbridge,600
76282,Aberdeen,Highland Lks,851
76283,Hendron,Ford,124
76284,Forkston Twp,Franconia,500
76285,Onancock,Maricao,84
76286,Albion,Newcmbrlnd,342
76287,Breckenridge,S Mansfield,493
76288,Phinizy,Shiloh,660
76289,Caruthers,E Fallowfield,243
76290,Pearlington,Union City,85
76291,Moosup,Crooks,434
76292,Council Bluffs,N Chittenden,725
76293,Mans De San German,Selected Risks Insurance Co,437
76294,Ft Charlotte,Spring Valley,40
76295,North Berwick,Premier,742
76296,Saratoga,Steelmanville,262
76297,Bakersfield,Pine City,720
76298,Sammamish,Richland,439
76299,Pineora,Randolph,840
76300,Macks Inn,Treaty Line Museum,640
76301,Res Perla Del Bucana,Maverick,510
76302,Willow Hill,Lake Emerald,344
76303,Harrodsburg,Brewer,177
76304,Byron,Wildwood Landing,165
76305,Jackson,Santa Rsa Bch,143
76306,Ridgecrest,Public,50
76307,Bassett,Alts De Montecasino,156
76308,Lodge,Dimmitt,316
76309,Sagaponack,Castalin Spgs,461
76310,Palmdale,Upper Lawn,740
76311,Wheatfield,Sumpter,672
76312,Alexander,Vira,968
76313,Chamblee,Netarts,670
76314,Bismarck,Bittersville,979
76315,Salineville,Bowmont,915
76316,Rochester,New Manchestr,945
76317,Ashley,New Milford,474
76318,Purysburgh,Daykin,992
76319,Green Valley,Antioch,48
76320,Meadow,Rosehill,313
76321,Pointe Aux Barques,Sealston,145
76322,URB Sierra Bayamon,URB Carmen Hls,379
76323,Kinta,Toyahvale,38
76324,Mitchellville,Lynbrook,71
76325,Port Matilda,Whites Chapel,491
76326,Ltle Dia Is,Columbia Heights,343
76327,Lake Emily,Old Zionsville,719
76328,Upalco,Bigmount,207
76329,Jxn,Tyringham,275
76330,Pearson,Linden Hill,132
76331,Boston,Pepper Pike,350
76332,Yaak,Heartwell,285
76333,Smithfield,St Paul Park,55
76334,Shannon Hills,Findlay,247
76335,Shortsville,Blue River,35
76336,Martel,Dunlevy,127
76337,West Biloxi,Ophir,229
76338,Richey,Univ Of Colorado Med Ctr,78
76339,Cypremort Pt,URB San Pedro Est,563
76340,Waimanalo,Patria,1000
76341,Melvin,University Park,61
76342,Argos,East Carolina Univ,457
76343,S Acworth,Green Lake,865
76344,Cleveland,Schwenksville,835
76345,Liberty,Gainesville,602
76346,Graniteville,Eola,771
76347,Seatac,Likely,918
76348,Mc Ewensville,Queens Vlg,856
76349,Cartersville,Copenhagen,443
76350,Usps Buffalo Amf,Kouts,687
76351,Cooters Point,Ironsides,834
76352,Rancocas Woods,Empire,258
76353,Gastonia,Ellamore,71
76354,North Atlanta,URB Luquillo Lomas,59
76355,Linville Fls,Washington,190
76356,Haukanier,Dotsero,769
76357,Pippa Passes,Sarasota,831
76358,Mineral Wells,Lono,10
76359,Bothell,Pollock,93
76360,Denby,Fryburg,903
76361,Duncan,Safford,681
76362,Hidden Valley,Independence,753
76363,Newton,Walled Lake,991
76364,Tyro,Badger,259
76365,Kouts,Canyon,795
76366,Deer Valley,Vendor,795
76367,Portsmouth,Kirby,9
76368,Spg Valley Lk,Selden,894
76369,Indn Riv Shrs,Velma,397
76370,North Fayston,Chiselville,20
76371,Macel,Crow Creek,402
76372,Luckey,Davisville,791
76373,Sunfish Lake,Marne,424
76374,Hayti,Mc Kenney,318
76375,Michigan,Yellville,294
76376,Vineyard Haven,West Union,884
76377,Kirkville,Salem,434
76378,Karluk,Ext Jard Del Caribe,952
76379,South Branch,Kennett Square,995
76380,Hometown,Elsmere,156
76381,Kings Mtn,Hudson,209
76382,Cumberland,Hines,479
76383,No Haverhill,Upperglade,776
76384,Oak Lawn,Thompson,287
76385,East Bethany,Rosewood,150
76386,Howison,Pershing,320
76387,Grant City,Concordville,988
76388,Tylertown,Monroe,114
76389,Brownwood,East Saint Johnsbury,628
76390,Santa Fe,Villas De Plan Bonito,323
76391,Evinston,Highland,708
76392,Educational Testing Service,Alexander,569
76393,Bard,Saint Elmo,41
76394,Preston,Pleasant View,636
76395,Canal Wnchstr,Nora,981
76396,Willows,Bantry,787
76397,Cato,Adams State College,954
76398,Dinsmore,Chagrin Township,998
76399,Joliet,Dallas Center,588
76400,Organ,Edon,222
76401,Wilmore,Ohio City,526
76402,Leetonia,East Northport,912
76403,Bradley,Ross County,424
76404,Selected Risks Insurance Co,Sect La Pra,364
76405,Champlin,Zerkel,912
76406,Truesdale,Aberdeen Proving Ground,21
76407,Simsboro,Naval Hospital,822
76408,Devon,Rover,184
76409,Gustine,Hootenville,731
76410,Winchestr Bay,Watson,881
76411,URB Ramirez De Arellano,Ozark,209
76412,Conneaut Twp,Schwertner,673
76413,Irwin,Beech Creek,809
76414,Stewartstown,Juneau,77
76415,Wesley,Georgetown,278
76416,Petrolia,Valley Fork,279
76417,Hoover,De Kalb,922
76418,Plessis,Mcmechen,944
76419,Gilboa,French Village,961
76420,Harvester,Spurger,749
76421,Culver,Manville,944
76422,Nicholson,URB Pereyo,235
76423,Long Lake,Highlands Ranch,438
76424,Millersburg,Irma,862
76425,Presidio,Bellevue,104
76426,Goshen,Leimert Park,555
76427,Gruetli,Ashippun,697
76428,Silver Lake,East Patchogue,169
76429,Studio City,Vineburg,231
76430,Storden,Saint Stephen,781
76431,Madison,Columbia,408
76432,Shulerville,Star Tannery,139
76433,Port Hueneme Cbc Base,Waveland,545
76434,Parkman,Little River,19
76435,URB Diplo,Coden,441
76436,Big Flats,Clearfield,316
76437,Hillsboro,Shaw Island,199
76438,Hersman,Atlantic Hlds,958
76439,Lent,No Eaton,714
76440,Fragaria,Cypress,855
76441,URB Puerto Nuevo,Mililani,490
76442,Whatley Landing,Alleene,996
76443,Queens,Riverside,263
76444,Moraine,Asan,535
76445,Swales,Cainhoy,86
76446,Corral City,Hillsboro,285
76447,Monroe,Kersey,462
76448,Dunnellon,Beach City,54
76449,Mayflower,Clearing,163
76450,S Farmingdale,Ojus,934
76451,Caruthersvlle,Alma,684
76452,Mapleton,Woodburn,302
76453,Vista Verde,Tiptonville,872
76454,Bellrose Village,Alfarata,848
76455,Braggadocio,Jackson National Life Ins Co,448
76456,Dixon,Lair,63
76457,Belcoville,Prudence Island,241
76458,Uscgs,Maryville,569
76459,Timber,Grover,913
76460,Camden,Bremen,567
76461,Sylvania Twp,Lake Wales,612
76462,Marion,Lake Como,897
76463,West Ashville,Courtland,163
76464,Chesapeake,Westminster,906
76465,Newport,Wilderness Village,244
76466,Cove,Springdale,742
76467,Crane Lake,Dudley,345
76468,Medalanes,Stoughton,564
76469,Kfalls,Weser,61
76470,Southwest Harbor,Sioux Falls,493
76471,Mc Crory,Industry,842
76472,Saint Hilaire,Waterford Township,221
76473,Hazard,Dinsmore,433
76474,Cave Rock,Indian Hills,314
76475,Scottsville,Big Island,298
76476,Harperville,Reelsville,291
76477,Locust Dale,Crows Nest,269
76478,Horrel Hill,Extension,387
76479,Whitney,East Moline,453
76480,Austin,Turnerville,563
76481,Wolf Creek,Caspiana,339
76482,Wareham,Cynthiana,537
76483,Bluff City,Grand Pass,297
76484,Office Personnel Mgmt,Hideaway,912
76485,Kingston,Etna,943
76486,Ross,Fenwick Isle,179
76487,South Vestal,Humarock,789
76488,Nodaway,URB Idamaris Gdns,319
76489,Gratiot,St Johns,362
76490,Tatum,Book,84
76491,Manchester,Squirrel Hill,259
76492,Oakfield,Bates,128
76493,Cypress Gardens,Frankville,468
76494,Lind,Robeson,966
76495,Saint Francis,Carnegie Mellon Univ,58
76496,Imperial,Matinicus,777
76497,Lindenwood,Boiling Springs,13
76498,Sawyer,Windyville,486
76499,URB Fajardo Gdns,Kirtland,41
76500,Bypro,Queen,766
76501,Irene,Oakland,900
76502,Lipan,Bath,76
76503,Greenhorn,Champion International,796
76504,Leaday,Slagle,590
76505,Sulphur,Hialeah Gdns,226
76506,Darnestown,Jesup,363
76507,Portland,Van Horn,473
76508,East Connersville,Wilmington,184
76509,Menasha,Cleveland,628
76510,Oshoto,Sawyers Bar,100
76511,Seymour,Allison,425
76512,Tutor Key,North Hayden,1000
76513,Kodak Apparatus Division,Red Lake Falls,784
76514,Cato,White Oak,46
76515,Towanda,Lamoni,439
76516,Yalaha,Torrance,563
76517,Enola,Mc Clusky,127
76518,North Chesterfield,Longview,990
76519,Schultzville,Greenville,526
76520,Delong,Wilmette,838
76521,URB Palacio Imperial,Clinton,960
76522,Wharncliffe,Boston College,32
76523,Padus,Emblem,238
76524,Accident,Micro,378
76525,Consumer Direct Inc,Delta City,324
76526,Tisbury,Mill Spring,748
76527,Newark,Lk Forest Pk,647
76528,Depauw,Mixon,343
76529,Mc Intyre,Chance,888
76530,Rusk,Monroe Twp,292
76531,Lynn Center,Apex,379
76532,Praderas De Navarro,Wilsondale,614
76533,Humboldt,Pepperell,375
76534,Sandusky,Emmons,458
76535,Tieton,Sayner,327
76536,Petroleum,Iva,70
76537,Bo Candelaria,East Cotter,520
76538,Pot Creek,Olivia,926
76539,P Hill,Menno,578
76540,Williston Pk,Butterfield,91
76541,Burley,Rollingbay,526
76542,Rockville Ctr,Millbrook,415
76543,Est Del Rio,Mount Airy,878
76544,Wheatley,Pleasant Lake,936
76545,Ochopee,Brkn Arw,895
76546,Bay View,West Liberty,36
76547,Wollaston,Honcut,272
76548,Shallotte,Edwardsville,389
76549,Scottsburg,Sandia,249
76550,Blanchardville,Bradgate,800
76551,New Sweden,Friday Harbor,158
76552,Davistown,Mendola Village,286
76553,Weyers Cave,Rocky Mount,306
76554,Story,Bennett,932
76555,Browndale,State Government,536
76556,North Pembroke,Jonesburg,68
76557,Waldron,Kimberlin Hgt,397
76558,General Mail Facility,Edmon,683
76559,Hazlehurst,Lifeway Christian Resources,31
76560,Greenbay,Kingston,138
76561,Willseyville,Bayboro,668
76562,Rich,Omar,441
76563,URB Veredas,Monroe,510
76564,Griesemersville,N Richland Hills,774
76565,Willis Wharf,Sabillasville,135
76566,Churchtown,Entriken,831
76567,Westport,Startzville,22
76568,Pisgah,Queensbury,519
76569,Jard De Rincon,Watertown,106
76570,Tuscarora,Ingram Entertainment Group,282
76571,Michigan,Rock Point,290
76572,Cajahs Mtn,Garberville,482
76573,Kilbourne,Hidden Valley,369
76574,Bronson,Grant Valkaria,756
76575,Sticks,Pt Lookout,667
76576,Enterprise,Hillcrest,562
76577,URB Las Palmas,Alt Del Rio,770
76578,M And T Bank,Stoneybreak,695
76579,Oviedo,Stone,942
76580,Broomes Island,Sandia Pueblo,830
76581,So Berwick,Rancho Dominguez,134
76582,Inglenook,Kisatchie,658
76583,Herron Is,Greenfield,945
76584,Kew Garden Hl,URB Viera,956
76585,Chiselville,Zephyr,361
76586,Dayton,Corning,117
76587,Farnham,Clare,468
76588,Smock,Claycomo,140
76589,Liebenthal,Van Buren Bay,629
76590,Claysville,Middletown,191
76591,Montgomery,Fagus,336
76592,Running Spgs,Tuscola,585
76593,Petra,Detroit River Station,784
76594,Wrens,Hacienda De Garrochales,489
76595,Cowlesville,Henton,143
76596,Carona,Wilmer,324
76597,Ostrica,Pillager,335
76598,Mossy Head,Quechee,790
76599,Queens,Fargo,38
76600,Cuero,Antioch,314
76601,Wauwatosa,Nebo,403
76602,Turkey Ridge,Cookeville,848
76603,Karnes City,Crown City,474
76604,Prescott,Lone Tree,186
76605,Anthony,Fairplay,219
76606,Middle Brook,Straughn,487
76607,Coulterville,Belgrade Lakes,437
76608,Halsey,Andover,852
76609,George,Memphis,15
76610,Sonora,Fruitvale,571
76611,Benton,Sunken Meadow,470
76612,Dwarf,Silver City,658
76613,Grace Chapel,Howardstown,426
76614,Fedscreek,Hines,861
76615,Circle,Albright,343
76616,Hudson,Rampart,959
76617,Coosawhatchie,Cainhoy,166
76618,Lake Carmel,Woodstock,527
76619,Belmont,Shives,332
76620,East Peru,Broomfield,363
76621,University Of Northern Iowa,San Pablo,447
76622,Corsica,Silva,33
76623,Onaga,Franklin Springs,634
76624,Topeka,Stansbury Park,416
76625,Harmony,Pioneer,232
76626,Nelsonia,Crockett,875
76627,Keaau,Ottoville,887
76628,Tyronza,Cornell,400
76629,Meriden,County Line,662
76630,Elba,Mayburn Corners,782
76631,Pursley,Austin,616
76632,Haydenville,Halma,41
76633,Honeycamp,Millboro,51
76634,URB Cerro Gordo Hls,Esbon,220
76635,Harveysburg,Bellevue,883
76636,Cynwyd,Vilas,260
76637,Rollingstone,Southport,101
76638,Godley,Powersite,609
76639,Whaleyville,Cheneyville,707
76640,Reading,Nekoma,214
76641,Wheatland,Harding,907
76642,Greenway,Birney,811
76643,Jackson National Life Ins Co,Mans Playa Hucares,493
76644,Ridgefield Pk,Atlanta,808
76645,Fdic,North Wilmurt,530
76646,Hollowville,Beaverdale,546
76647,Blmng Prairie,Mcconnelsville,372
76648,Rio Dell,Hayesville,698
76649,Oaksville,Raleigh Brm,980
76650,Palo Alto Battlefield Nation,Thomas,685
76651,Kettle Falls,Arkansas City,440
76652,Sikes,Arrowhead Promotion Fulfillm,93
76653,W Long Branch,Blewett,317
76654,Edmonson,Caney Valley,271
76655,Kellner,Burbank,735
76656,Summersville,Edgewater Prk,909
76657,Timberlake,Arcturus,322
76658,Rewey,Wheatland,152
76659,Oretech,Vidalia,849
76660,Attica,Odell,331
76661,Crawford,Shabbona,18
76662,Palestine,Glenmoore,968
76663,Lake Swannanoa,Myrtle Grove,808
76664,Comunidad Juan Otero,Anna,360
76665,Cabo Rojo,Villa Navarra,961
76666,Marion,Powderly,673
76667,Cassadaga,Millseat,775
76668,Hyampom,Silverpeak,826
76669,Hartford,Northbrook,594
76670,Lawndale,Lyndonville,815
76671,Southgate,Parkway Village,706
76672,Pleasantville,Moriah Center,594
76673,Mclean,Klondike,778
76674,Gardendale,Lennox,656
76675,Mazeppa,Shively,360
76676,Cedar Point,Jungo,281
76677,Clarks Mills,Ogdensburg,617
76678,Neosho,Maulden,192
76679,Millbrae,URB Cerro Ceiba,514
76680,Republic,Ririe,583
76681,S Charleston,Fountain,159
76682,Rising Sun,Weston,442
76683,W Menlo Park,Brownsburg,11
76684,Hasbrouck Heights,Mountain Home Air Force Base,768
76685,Warrenton,Loomis,439
76686,Walnutport,Stewart Heights,52
76687,Wales,Mendocino,354
76688,Greenview,Bentley,530
76689,Wilmore,Amelia City,651
76690,Eustis,Paris,464
76691,Hepburn Hts,Milton Freewater,361
76692,Lebanon,Bentonia,17
76693,Oak Island,Esparto,750
76694,Lordsburg,Navarro,769
76695,Beals,Frenchmans Bayou,917
76696,Pemberton,Manson,260
76697,New Ellenton,Naples,15
76698,Sweek Hollow,National Farmers Union,158
76699,Alts El Maestro,Heer Park,87
76700,Pacific Power,Jerome,895
76701,Delco,Col X Rds,605
76702,Flatwoods,Charlton City,762
76703,Castana,South Shore,223
76704,Winona,Samantha,185
76705,Mem,Stewart,328
76706,Pigeon,Portsmouth,424
76707,Arches,Parc Las 35,435
76708,Juniata,Auburn Twp,389
76709,Mt Holly,Berne,394
76710,Superior,Logan Township,679
76711,Grosse Ile,Brookley Fld,70
76712,Rose Hill,Collinsville,643
76713,La Jose,Kerrik,973
76714,O Brien,Salem,795
76715,Olmsted Falls,Bland,395
76716,Honey Brook,Center Port,100
76717,Patton Hill,Cool,979
76718,N Georgetown,Allegheny Power,490
76719,Selma,Evarts,402
76720,Toulouse,America,985
76721,Foster City,Carbondale,474
76722,Peardale,Gloucester,824
76723,Waterville,Sebring,724
76724,Il Dept Public Health,N Charleston,286
76725,Kaiser,Cosby,733
76726,Tracys Landing,Wildwood City,973
76727,Catawba,Goddard,688
76728,White Rock,Bottle Hollow,522
76729,Point Pleasant,Hellertown,65
76730,Rogersville,Sparland,706
76731,Cornwall Ctr,Barbourville,833
76732,Athol,Ouetti,652
76733,Elmont,Lakeview Township,65
76734,Fishing Creek,Cocoa Beach,438
76735,Odell,Maple Hill,949
76736,Roslyn Estates,Brinegar,992
76737,Bda Buen Samaritano,Seven Fountns,1000
76738,Deer River,Dunstable,18
76739,Port Trevorton,Fairmont,961
76740,Erie,Silver Point,657
76741,Kimbolton,Jug Fork,31
76742,Joanna,Big Spring,671
76743,Gilmore City,Woodworth,168
76744,Lost Creek,Shirley Basin,570
76745,Notrees,Parc Castillo,457
76746,Chapman,Perrysburg,603
76747,Mountain Vlg,Ext Elizabeth,290
76748,Veterans Administration Faci,Frankenstein,813
76749,Yonkers,URB Mercedita,380
76750,Stndg Stone,Wiggins,311
76751,Southeast,Georgia Tech,816
76752,Superstition Mountain,Many,553
76753,Codorus,North Woodmere,469
76754,Graham,Lyons,784
76755,Center,Lilly Dale,701
76756,Lebanon,Sidney,384
76757,Bellingham,Munger,834
76758,Hico,S Pymatuning Twp,185
76759,Mayslick,East Jenkins,659
76760,Blomkest,Gwynedd Vly,686
76761,Florida State,Robert,858
76762,Lookout Heights,Syria,132
76763,Hydesville,Hendersonville,856
76764,Univ Of North Ala,Boughtonville,740
76765,Dana Point,Steeleville,228
76766,Fort Jefferson National Mon,Wahpeton,739
76767,Watton,El Valle,644
76768,Artesia,Richmond,974
76769,Brewster,Home,606
76770,Providence,Mount Tabor,227
76771,New Helena,Monetta,976
76772,Ridgewood,Romulus,779
76773,Black River,Gordon Lakes,202
76774,Leavenworth,New Marlboro,790
76775,Cairo,Hooker,707
76776,Diamond,Langford,139
76777,Cecil,Point Pleasant,747
76778,Gilford,Corcoran,681
76779,Bda Pueblo Nuevo,Hoytville,585
76780,Nj International And Bmc,Brewer,695
76781,Lawton,Webb,603
76782,Shannon Plaza,Beach Haven,912
76783,Junction City,Ferdinand,467
76784,Archibald,Dennisville,675
76785,Bright Shade,Miller Cty,158
76786,Gray,Goodfellow AFB,974
76787,Dixie,Bon Air,120
76788,Eastwood,Rensselaer,923
76789,Manchester,URB Open Land,926
76790,West Melbourne,Black Springs,465
76791,Afton Lake,Vail,721
76792,Florida International Univ,Greenwood,545
76793,Bentonia,Falmouth,129
76794,Guilford,Alpharetta,196
76795,Athboy,Honolulu,968
76796,Bruce,Aromas,817
76797,North Middletown,Ext Santa Teresita,293
76798,Hot Springs,Villa Cavazos,820
76799,Shark River Manor,Coalport,393
76800,Selea,Banks,581
76801,Hennepin,Knott,42
76802,Springdale,Del Rey Oaks,458
76803,Osage City,Balch Springs,186
76804,St Michael,Wolbach,451
76805,Hiawatha,Mackay,844
76806,Mabank,Berlin Center,798
76807,East Hampstead,De Turksville,89
76808,Liguori,Walker,588
76809,Fairview Heights,Powers,26
76810,Buffalo Lake,Air Base,411
76811,Kansas University Med Center,Clearlake Oks,216
76812,River Pines,Cass,76
76813,Woodlawn Park,Aberdeen Proving Ground,142
76814,Ely Colony,URB Canas,20
76815,Davilla,Repto Universidad,281
76816,Chisago Lake,Veterans Administration,288
76817,Stroh,Koleen,407
76818,Jonesburg,Centerville,80
76819,Ashley,Fox Is,175
76820,Aiea,North Judson,956
76821,URB El Bosque,Brownsboro Village,56
76822,Centerpoint,Franklin,289
76823,Crandon,Mc Knight,133
76824,Ogdensburg,Oakman,897
76825,Melrose,Watauga,946
76826,Escondida,Inlet Island,713
76827,Vistas Del Rio Iii,Guernsey,559
76828,East Highgate,York,901
76829,Swett,Cotton Center,496
76830,Shawnee,Ocean Breeze Park,871
76831,Haines City,Wynona,747
76832,Sigel,De Young,48
76833,Popejoy,Roanoke Rapids,682
76834,Highland,Halltown,313
76835,Rich Int Ap,Chenango Bridge,365
76836,Lumberton,Columbia Station,478
76837,Truesdail,Fisherdale,143
76838,Cleveland,Rockbridge,176
76839,Enon Valley,Burlington Northern Santa Fe,141
76840,Tonawanda,Baltimore,207
76841,East China,Hatteras,734
76842,Margarettsville,Richmond Hill,896
76843,Bank Of America,Colma,259
76844,Midvale,Valle Alto,193
76845,Cold Spring,Forest Lake,890
76846,Aquilla,Richardson,499
76847,Roselawn,Oakryn,593
76848,Disney Productions,Bache,708
76849,Green Twp,Hillsborough,510
